Four-Factor Score,NRtg_norm,SRS_norm,W,L,W/L%
1.168681,1.4671754909409769,1.589324875997003,59.0,23.0,0.72
1.393995,1.2729904994929064,1.3442643037998605,60.0,22.0,0.732
1.128045,1.2298382791711129,1.0516191544770588,49.0,33.0,0.598
0.776654,0.906196626757662,0.7066309703160327,50.0,32.0,0.61
0.891239,0.8198921861140752,0.6638048509029397,48.0,34.0,0.585
0.570145,0.6257071946660048,0.7066309703160327,50.0,32.0,0.61
0.646062,0.5825549743442114,0.6566671643340909,47.0,35.0,0.573
0.373903,0.5394027540224179,0.6447710200526763,50.0,32.0,0.61
0.300051,0.5394027540224179,0.4187442787057971,48.0,34.0,0.585
0.491728,0.4962505337006244,0.5852902986456028,51.0,31.0,0.622
0.555555,0.4962505337006244,0.3616427861550066,47.0,35.0,0.573
0.398087,0.3667938727352441,0.4496742538374753,43.0,39.0,0.524
0.214498,0.2589133219307606,0.3735389304364213,44.0,38.0,0.537
-0.182572,0.0431522203217934,-0.0927899253950346,42.0,40.0,0.512
-0.371122,0.0431522203217934,-0.0571014925507905,42.0,40.0,0.512
-0.127659,-0.0431522203217934,0.0880314676824687,40.0,42.0,0.488
0.008855,-0.0863044406435868,-0.1784421642212203,44.0,38.0,0.537
-0.108111,-0.2373372117698639,-0.3497466418735919,37.0,45.0,0.451
-0.372171,-0.2589133219307606,-0.1427537313769762,38.0,44.0,0.463
-0.74256,-0.3236416524134508,-0.383055845861553,37.0,45.0,0.451
-0.82491,-0.7335877454704883,-0.618599502633564,28.0,54.0,0.341
-0.578283,-0.8198921861140752,-0.9207615673814972,35.0,47.0,0.427
-0.696576,-0.9709249572403522,-0.8208339554176137,27.0,55.0,0.329
-0.988156,-1.1651099486884229,-1.2633705226862402,30.0,52.0,0.366
-0.813595,-1.2298382791711129,-1.2205444032731474,25.0,57.0,0.305
-1.267665,-1.4024471604582869,-1.4513296023325923,24.0,58.0,0.293
-1.342842,-1.963426024641601,-1.7630085825056572,17.0,65.0,0.207
-1.492135,-2.200763236411465,-2.2816804731753377,17.0,65.0,0.207
1.541621,1.865420978355487,1.8654273281781968,57.0,25.0,0.695
1.106554,1.5199726490303966,1.2518979672460868,54.0,28.0,0.659
1.084372,1.5199726490303966,1.2245747973260332,61.0,21.0,0.744
0.979288,1.4278530945437062,1.4555797793773946,58.0,24.0,0.707
0.710747,1.2436139855703248,1.3438031751589938,55.0,27.0,0.671
0.748183,1.082404765218616,1.2071873255587269,52.0,30.0,0.634
0.892592,0.9672553221102526,1.0805071741112058,56.0,26.0,0.683
0.5829,0.6448368814068349,0.4669778131790958,47.0,35.0,0.573
0.423304,0.5987771041634897,0.7327577387650707,50.0,32.0,0.61
0.258905,0.4375678838117808,0.566334794706563,45.0,37.0,0.549
0.089795,0.2763586634600721,0.4098475488008021,43.0,39.0,0.524
0.173322,0.2533287748383995,0.1043248306038405,41.0,41.0,0.5
0.107929,0.1151494431083633,-0.0322910189964268,42.0,40.0,0.512
-0.034172,-0.0230298886216726,-0.1788425667494409,41.0,41.0,0.5
-0.235958,-0.1612092203517087,0.0049678490763733,37.0,45.0,0.451
-0.057201,-0.1842391089733814,-0.0173874717673067,37.0,45.0,0.451
-0.242058,-0.3224184407034174,-0.1440676232148274,41.0,41.0,0.5
-0.129124,-0.3224184407034174,-0.131648000523894,42.0,40.0,0.512
-0.140843,-0.3684782179467629,-0.4943009830991493,36.0,46.0,0.439
-0.319377,-0.3684782179467629,-0.4893331340227759,39.0,43.0,0.476
-0.482361,-0.6448368814068349,-0.7327577387650707,33.0,49.0,0.402
-0.404382,-0.6448368814068349,-0.7625648332233107,35.0,47.0,0.427
-0.804186,-0.7830162131368711,-0.8495021920598446,33.0,49.0,0.402
-0.6008,-0.9442254334885798,-0.7302738142268839,29.0,53.0,0.354
-0.95358,-1.151494431083634,-0.9289877772818184,28.0,54.0,0.341
-0.867709,-1.1745243197053066,-1.24196226909334,28.0,54.0,0.341
-0.857849,-1.3817933173003607,-1.5201618173702482,25.0,57.0,0.305
-1.19693,-1.5660324262737422,-1.661745516046889,23.0,59.0,0.28
-1.372983,-1.7733014238687963,-1.800845290185343,21.0,61.0,0.256
1.670718,1.923096424233229,1.9400733827255248,59.0,23.0,0.72
0.926005,1.6357371884282637,1.7520050446041728,62.0,20.0,0.756
1.690739,1.5694235186271177,1.427834619684474,59.0,23.0,0.72
0.997317,1.3704825092236803,1.4501058702514764,58.0,24.0,0.707
0.713639,0.9947050470171872,1.0566471102344377,51.0,31.0,0.622
1.02533,0.9726004904168054,0.8190871041864142,54.0,28.0,0.659
0.366984,0.5747184716099305,0.6409170996503966,52.0,30.0,0.634
0.319318,0.5747184716099305,0.6532900166320645,45.0,37.0,0.549
0.12986,0.5084048018087846,0.6334933494613959,50.0,32.0,0.61
0.463434,0.4641956886080207,0.5518320973823878,49.0,33.0,0.598
0.134573,0.353672905606111,0.4281029275657089,44.0,38.0,0.537
0.125012,0.2431501226042013,0.1608479207616825,47.0,35.0,0.573
0.054308,0.1989410094034374,0.0866104188716752,45.0,37.0,0.549
0.288274,0.1989410094034374,0.0668137517010065,42.0,40.0,0.512
-0.044736,0.1989410094034374,0.1212545864203453,44.0,38.0,0.537
0.0798,-0.0663136698011458,-0.175695421139684,45.0,37.0,0.549
-0.156248,-0.1768364528030555,-0.2647804234076928,43.0,39.0,0.524
-0.106169,-0.1989410094034374,-0.1163054196276781,37.0,45.0,0.451
-0.266933,-0.3757774622064929,-0.4503741781327111,42.0,40.0,0.512
-0.447122,-0.3978820188068749,-0.4478995947363775,33.0,49.0,0.402
-0.477263,-0.4863002452084027,-0.4305775109620425,34.0,48.0,0.415
-0.286994,-0.5305093584091666,-0.6235950158760615,36.0,46.0,0.439
-0.61442,-0.5968230282103124,-0.6730866838027332,33.0,49.0,0.402
-0.413379,-0.7073458112122221,-0.7646462694670754,30.0,52.0,0.366
-0.506989,-0.729450367812604,-0.5741033479493899,34.0,48.0,0.415
-0.859912,-0.9947050470171872,-0.8537312717350842,27.0,55.0,0.329
-0.802382,-1.0610187168183332,-0.925494190228758,26.0,56.0,0.317
-0.950542,-1.414691622424444,-1.5218687887451503,18.0,64.0,0.22
-1.454959,-1.768364528030555,-1.5589875396901538,18.0,64.0,0.22
-1.597266,-2.3209784430401035,-2.380549227272901,13.0,69.0,0.159
1.253191,1.7976767258775426,1.7979432886085032,63.0,19.0,0.768
1.195761,1.7976767258775426,1.677005399240218,64.0,18.0,0.78
1.075483,1.587558667008739,1.6017551569666186,60.0,22.0,0.732
0.750201,1.33074770616909,1.472754741640448,54.0,28.0,0.659
0.690825,1.003897392373173,1.0051282360830796,49.0,33.0,0.598
0.871898,0.9805509413877506,0.964815606293651,52.0,30.0,0.634
