Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Indiana Pacers,24,42.1,86.7,.486,12.3,32.8,.375,29.8,53.8,.553,16.7,21.3,.785,8.6,31.2,39.8,27.0,8.3,5.0,14.9,19.9,113.2
15,Golden State Warriors,22,41.4,91.3,.453,15.0,40.8,.368,26.4,50.5,.522,15.3,21.6,.707,12.9,35.4,48.3,29.0,8.9,5.1,14.3,20.5,113.0
16,Atlanta Hawks,24,41.4,88.9,.466,12.0,34.6,.346,29.4,54.3,.542,18.0,22.8,.788,11.9,32.3,44.2,29.0,9.8,5.2,15.8,18.3,112.8
17,Brooklyn Nets,23,39.7,86.2,.460,15.6,40.8,.382,24.1,45.4,.530,17.8,22.1,.803,8.7,30.6,39.3,26.5,7.0,3.9,15.1,22.9,112.7
18,Houston Rockets,23,41.1,94.0,.437,11.7,35.7,.328,29.4,58.3,.504,18.4,24.1,.766,14.1,35.3,49.4,22.3,8.8,5.7,13.0,20.5,112.4
19,San Antonio Spurs,23,40.1,88.3,.454,14.1,40.5,.347,26.0,47.7,.545,18.3,23.0,.793,11.1,33.8,44.9,28.3,7.8,6.3,15.1,16.7,112.4
20,Minnesota Timberwolves,22,40.1,86.2,.465,15.3,41.1,.371,24.9,45.1,.551,16.8,21.2,.795,9.5,33.5,43.0,25.6,8.8,4.7,16.5,18.9,112.3
21,Toronto Raptors,23,41.8,90.0,.464,10.9,32.4,.337,30.9,57.7,.536,16.9,22.9,.736,13.3,32.7,46.0,28.2,7.6,4.8,16.5,22.3,111.4
22,Los Angeles Clippers,24,40.6,87.6,.464,12.8,34.5,.373,27.8,53.2,.522,17.0,21.8,.778,11.8,34.3,46.1,25.3,9.5,4.4,17.1,19.1,111.1
23,Detroit Pistons,24,40.8,88.4,.462,13.2,37.0,.358,27.6,51.4,.536,16.1,21.1,.762,11.5,34.3,45.8,25.4,6.3,5.6,16.7,20.2,110.9
24,Utah Jazz,22,39.5,86.5,.457,12.9,37.3,.346,26.6,49.2,.541,18.9,23.9,.789,12.2,33.1,45.4,24.8,7.0,5.0,18.5,18.8,110.8
25,Orlando Magic,25,39.5,87.6,.451,12.2,39.2,.310,27.4,48.4,.566,19.4,24.4,.793,11.0,32.3,43.3,25.1,9.8,7.1,15.6,20.7,110.6
26,Charlotte Hornets,22,39.3,92.3,.426,16.4,45.0,.364,23.0,47.4,.485,14.5,18.5,.781,13.6,33.0,46.6,23.6,7.9,5.1,16.4,21.6,109.5
27,Philadelphia 76ers,21,38.6,88.0,.439,12.0,37.0,.324,26.6,51.0,.522,18.6,24.3,.768,11.0,29.4,40.3,22.2,9.6,4.1,14.9,21.5,107.9
28,Portland Trail Blazers,23,39.2,89.9,.436,11.9,35.3,.336,27.3,54.5,.500,16.7,21.9,.761,13.0,29.7,42.7,22.3,8.6,6.1,16.8,19.7,106.9
29,New Orleans Pelicans,23,39.7,91.0,.436,10.9,33.4,.328,28.8,57.6,.499,15.9,21.2,.752,13.1,31.1,44.2,24.1,9.3,5.4,15.5,17.9,106.3
30,Washington Wizards,20,38.5,87.8,.438,10.9,34.9,.313,27.5,52.9,.520,16.3,21.0,.775,9.4,31.9,41.3,23.7,7.7,5.2,15.5,21.2,104.1
