Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,Dallas Mavericks,23,241.1,40.5,90.1,.449,12.4,36.3,.343,28.0,53.8,.521,17.8,23.6,.753,12.1,31.6,43.7,26.3,8.0,4.3,14.3,19.3,111.2
12,Cleveland Cavaliers,23,240.0,40.7,89.3,.455,13.6,36.6,.372,27.0,52.7,.514,16.5,20.9,.790,10.9,32.9,43.8,25.6,7.6,4.7,15.9,18.3,111.4
13,Milwaukee Bucks,22,241.1,40.7,90.4,.451,14.0,38.7,.360,26.8,51.6,.518,17.0,20.5,.829,10.9,34.4,45.3,25.6,7.5,4.1,12.9,19.5,112.4
14,Charlotte Hornets,22,242.3,40.3,85.8,.470,13.7,37.5,.364,26.6,48.3,.552,18.3,23.6,.775,10.0,32.8,42.9,25.9,7.8,5.3,14.3,18.9,112.6
15,San Antonio Spurs,23,240.0,42.3,90.4,.468,13.3,37.0,.358,29.1,53.4,.544,15.0,19.0,.788,11.3,33.0,44.3,25.7,8.5,4.5,14.0,19.1,113.0
16,Detroit Pistons,24,243.1,41.4,89.5,.463,14.2,37.6,.377,27.3,51.9,.525,16.1,20.9,.772,10.7,31.7,42.4,24.9,9.9,5.1,13.8,18.3,113.1
17,Memphis Grizzlies,23,240.0,40.3,91.4,.440,13.4,39.6,.339,26.8,51.8,.518,19.2,25.7,.747,11.9,31.7,43.5,24.4,9.2,5.0,16.0,21.6,113.1
18,Phoenix Suns,21,242.4,41.6,89.6,.465,13.3,36.7,.362,28.3,52.9,.536,17.0,21.0,.805,10.5,33.7,44.1,26.5,8.1,4.3,12.8,19.9,113.5
19,Brooklyn Nets,23,242.2,40.5,83.6,.484,13.0,35.4,.366,27.5,48.1,.572,19.7,25.3,.779,9.7,33.3,43.0,26.7,7.9,6.5,15.1,19.7,113.7
20,Sacramento Kings,24,243.1,40.5,87.6,.462,15.0,39.7,.378,25.5,47.9,.531,18.0,22.6,.795,10.0,31.9,41.9,25.8,8.3,4.0,15.2,19.5,113.9
21,New Orleans Pelicans,23,240.0,43.8,90.1,.486,14.5,39.0,.373,29.3,51.2,.572,14.3,18.5,.774,11.7,33.6,45.2,28.7,9.0,5.7,14.5,17.3,116.4
22,Portland Trail Blazers,23,240.0,41.8,88.1,.474,14.0,37.5,.372,27.8,50.6,.550,18.9,23.8,.793,12.3,33.5,45.8,28.0,10.0,6.7,16.4,19.7,116.4
23,Los Angeles Lakers,23,241.1,43.7,89.7,.487,14.3,37.8,.377,29.4,51.9,.567,14.9,18.9,.786,11.0,33.1,44.1,29.5,7.8,4.1,14.3,20.7,116.5
24,Denver Nuggets,20,242.5,43.7,92.8,.470,14.2,38.7,.366,29.5,54.1,.545,15.4,20.2,.762,11.9,32.5,44.4,30.0,8.5,5.8,15.0,21.1,116.8
25,Toronto Raptors,23,243.3,41.3,89.6,.461,13.3,38.1,.348,28.0,51.5,.545,21.2,26.9,.788,11.3,31.1,42.4,26.0,9.7,6.1,13.6,19.6,117.0
26,Utah Jazz,22,240.0,43.4,91.0,.476,14.2,40.0,.355,29.2,51.1,.571,16.8,22.0,.762,11.3,30.4,41.7,27.9,10.1,6.6,12.1,20.6,117.7
27,Indiana Pacers,24,242.1,43.0,88.8,.485,13.7,37.4,.366,29.4,51.4,.572,18.7,24.0,.776,10.5,32.8,43.3,26.6,8.2,4.6,14.8,19.1,118.4
28,Atlanta Hawks,24,241.0,42.5,91.5,.464,16.2,42.0,.385,26.3,49.6,.531,17.8,22.8,.782,11.3,33.1,44.4,27.0,9.7,5.9,16.5,20.3,119.0
29,Chicago Bulls,24,240.0,46.3,95.1,.487,13.8,38.7,.356,32.5,56.5,.576,17.3,22.7,.761,10.3,35.6,45.8,29.7,8.6,5.0,12.2,16.8,123.6
30,Washington Wizards,20,240.0,44.1,91.2,.484,14.7,38.8,.378,29.5,52.5,.561,20.7,26.4,.784,11.8,36.3,48.1,27.6,9.0,6.0,13.5,18.9,123.6
,League Average,23,241.4,41.1,88.6,.464,13.5,37.5,.359,27.7,51.2,.541,17.2,22.2,.777,10.9,33.0,43.9,26.1,8.3,5.2,14.8,19.4,113.0
